Start: 2021-03-09 21:39:59.785231
Found 0 - ('AM', 'AM02-0001-a', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-a-en.xml', 'AM02-0001-a-en.xml')
Found 5 - ('AM', 'AM02-0001-d-alpha', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-d-alpha-da.xml', 'AM02-0001-d-alpha-da.xml')
Found 7 - ('AM', 'AM02-0001-b', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-b-da.xml', 'AM02-0001-b-da.xml')
Found 9 - ('AM', 'AM02-0001-d-beta', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-d-beta-en.xml', 'AM02-0001-d-beta-en.xml')
Found 11 - ('AM', 'AM02-0001-a', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-a-da.xml', 'AM02-0001-a-da.xml')
Found 12 - ('AM', 'AM02-0001-d-beta', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-d-beta-da.xml', 'AM02-0001-d-beta-da.xml')
Found 14 - ('AM', 'AM02-0001-b', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-b-en.xml', 'AM02-0001-b-en.xml')
Found 16 - ('AM', 'AM02-0001-c', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-c-da.xml', 'AM02-0001-c-da.xml')
Found 20 - ('AM', 'AM02-0001-e-alpha', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-alpha-en.xml', 'AM02-0001-e-alpha-en.xml')
Found 21 - ('AM', 'AM02-0001-e-alpha', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-alpha-da.xml', 'AM02-0001-e-alpha-da.xml')
Found 22 - ('AM', 'AM02-0001-e-beta-I', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-I-en.xml', 'AM02-0001-e-beta-I-en.xml')
Found 23 - ('AM', 'AM02-0001-d-alpha', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-d-alpha-en.xml', 'AM02-0001-d-alpha-en.xml')
Found 24 - ('AM', 'AM02-0001-c', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-c-en.xml', 'AM02-0001-c-en.xml')
Found 25 - ('AM', 'AM02-0001-e-beta-I', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-I-da.xml', 'AM02-0001-e-beta-I-da.xml')
Found 28 - ('AM', 'AM02-0001-e-beta-II', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-II-da.xml', 'AM02-0001-e-beta-II-da.xml')
Found 29 - ('AM', 'AM02-0001-e-beta-II', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-II-en.xml', 'AM02-0001-e-beta-II-en.xml')
Found 30 - ('AM', 'AM02-0001-f', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0001-f-en.xml', 'AM02-0001-f-en.xml')
Found 31 - ('AM', 'AM02-0002', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0002-da.xml', 'AM02-0002-da.xml')
Found 32 - ('AM', 'AM02-0001g', 'is', 'https://handrit.is/en/manuscript/xml/AM02-0001g-is.xml', 'AM02-0001g-is.xml')
Found 33 - ('AM', 'AM02-0002', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0002-en.xml', 'AM02-0002-en.xml')
Found 34 - ('AM', 'AM02-0003', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0003-da.xml', 'AM02-0003-da.xml')
Found 35 - ('AM', 'AM02-0004', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0004-da.xml', 'AM02-0004-da.xml')
Found 36 - ('AM', 'AM02-0001-f', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0001-f-da.xml', 'AM02-0001-f-da.xml')
Found 37 - ('AM', 'AM02-0003', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0003-en.xml', 'AM02-0003-en.xml')
Found 38 - ('AM', 'AM02-0004', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0004-en.xml', 'AM02-0004-en.xml')
Found 39 - ('AM', 'AM02-0005', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0005-en.xml', 'AM02-0005-en.xml')
Found 43 - ('AM', 'AM02-0008', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0008-da.xml', 'AM02-0008-da.xml')
Found 44 - ('AM', 'AM02-0006', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0006-en.xml', 'AM02-0006-en.xml')
Found 45 - ('AM', 'AM02-0008', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0008-en.xml', 'AM02-0008-en.xml')
Found 46 - ('AM', 'AM02-0006', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0006-da.xml', 'AM02-0006-da.xml')
Found 47 - ('AM', 'AM02-0005', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0005-da.xml', 'AM02-0005-da.xml')
Found 48 - ('AM', 'AM02-0010', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0010-da.xml', 'AM02-0010-da.xml')
Found 49 - ('AM', 'AM02-0010', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0010-en.xml', 'AM02-0010-en.xml')
Found 52 - ('AM', 'AM02-0011', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0011-en.xml', 'AM02-0011-en.xml')
Found 54 - ('AM', 'AM02-0012-a', 'en', 'https://handrit.is/en/manuscript/xml/AM02-0012-a-en.xml', 'AM02-0012-a-en.xml')
Found 55 - ('AM', 'AM02-0011', 'da', 'https://handrit.is/en/manuscript/xml/AM02-0011-da.xml', 'AM02-0011-da.xml')
